"","word","count"
"1","c",1632
"2","home",758
"3","page",1169
"4","system",1032
"5","program",793
"6","oper",266
"7","practicum",19
"8","kenneth",14
"9","p",166
"10","birman",11
"11","new",263
"12","group",207
"13","cours",525
"14","syllabu",67
"15","lectur",354
"16","note",223
"17","unix",40
"18","filesystem",2
"19","structur",96
"20","link",267
"21","static",23
"22","dynam",80
"23","assign",310
"24","homework",299
"25","solut",224
"26","prelim",50
"27","ta",131
"28","lili",9
"29","upson",128
"30","hall",163
"31","phone",155
"32","email",277
"33","edu",687
"34","offic",374
"35","hour",191
"36","wednesdai",72
"37","fridai",55
"38","yicheng",5
"39","huang",19
"40","tuesdai",93
"41","thursdai",88
"42","mihai",2
"43","budiu",2
"44","last",303
"45","modifi",107
"46","tue",26
"47","nov",65
"48","select",75
"49","displai",15
"50","symbol",27
"51","correspond",8
"52","postcript",4
"53","document",169
"54","hand",20
"55","phase",3
"56","hoca",10
"57","inform",539
"58","schedul",166
"59","chang",50
"60","handout",147
"61","gif",5
"62","format",75
"63","penn",4
"64","ai",60
"65","broccoli",1
"66","question",86
"67","answer",40
"68","chip",25
"69","comput",1741
"70","consol",3
"71","window",42
"72","exampl",78
"73","us",520
"74","tutori",50
"75","principl",42
"76","configur",13
"77","file",165
"78","specif",82
"79","maintain",41
"80","lorenzo",10
"81","alvisi",9
"82","databas",155
"83","retriev",54
"84","depart",516
"85","scienc",1049
"86","cornel",301
"87","univers",922
"88","spring",141
"89","grade",108
"90","nice",21
"91","summer",75
"92","introduct",102
"93","three",36
"94","credit",32
"95","cover",68
"96","fundament",24
"97","will",484
"98","roughli",3
"99","two",93
"100","third",38
"101","on",185
"102","topic",150
"103","includ",165
"104","follow",72
"105","data",183
"106","model",157
"107","entityrelationship",3
"108","relat",79
"109","physic",46
"110","organ",51
"111","index",39
"112","hash",2
"113","design",245
"114","queri",28
"115","languag",342
"116","optim",93
"117","crash",9
"118","recoveri",6
"119","concurr",29
"120","control",74
"121","transact",43
"122","process",161
"123","part",98
"124","deal",12
"125","find",92
"126","larg",62
"127","textual",2
"128","invert",1
"129","vector",19
"130","space",26
"131","smart",16
"132","similar",11
"133","weight",8
"134","rank",11
"135","relev",17
"136","feedback",14
"137","phrase",4
"138","gener",170
"139","term",31
"140","relationship",2
"141","thesauru",1
"142","construct",115
"143","evalu",45
"144","time",263
"145","permit",17
"146","automat",63
"147","text",126
"148","summar",6
"149","materi",101
"150","class",362
"151","place",97
"152","pm",120
"153","minut",14
"154","thurston",1
"155","prerequisit",20
"156","recommend",34
"157","book",103
"158","concept",34
"159","korth",3
"160","silberschatz",13
"161","mcgraw",1
"162","hill",11
"163","second",55
"164","edit",31
"165","requir",91
"166","see",144
"167","elmasri",2
"168","navath",2
"169","benjamin",6
"170","cum",3
"171","reserv",13
"172","knowledgebas",9
"173","ullman",2
"174","press",37
"175","photocopi",3
"176","salton",15
"177","research",633
"178","paper",279
"179","instructor",95
"180","amit",15
"181","singhal",16
"182","teach",100
"183","assist",80
"184","sophia",1
"185","georgiakaki",1
"186","hourswednesdai",1
"187","b",188
"188","appoint",35
"189","send",95
"190","mail",131
"191","marco",8
"192","aguilera",5
"193","amith",3
"194","yamasani",2
"195","exam",168
"196","midterm",62
"197","worth",9
"198","final",168
"199","five",15
"200","semest",40
"201","polici",49
"202","can",336
"203","work",497
"204","peopl",86
"205","clearli",5
"206","indic",10
"207","name",63
"208","member",100
"209","entir",7
"210","receiv",67
"211","avail",214
"212","due",172
"213","week",58
"214","set",110
"215","along",10
"216","guid",63
"217","date",52
"218","late",33
"219","accept",17
"220","illeg",1
"221","hard",17
"222","even",33
"223","though",20
"224","encourag",13
"225","type",54
"226","latex",50
"227","possibl",28
"228","dont",66
"229","alreadi",11
"230","know",74
"231","good",73
"232","opportun",14
"233","learn",162
"234","submiss",12
"235","pleas",114
"236","attach",4
"237","sort",16
"238","alphabet",5
"239","also",282
"240","write",67
"241","homeworkx",1
"242","bill",11
"243","clinton",1
"244","bob",8
"245","dole",2
"246","ross",5
"247","perot",1
"248","return",37
"249","first",109
"250","list",193
"251","want",56
"252","wai",67
"253","regrad",7
"254","request",21
"255","submit",29
"256","within",22
"257","get",133
"258","back",66
"259","tent",12
"260","chapter",54
"261","refer",79
"262","januari",53
"263","read",206
"264","algebra",36
"265","februari",54
"266","tupl",3
"267","calculu",13
"268","domain",21
"269","sql",2
"270","integr",50
"271","constraint",25
"272","march",66
"273","break",17
"274","april",115
"275","cluster",21
"276","advanc",76
"277","mai",231
"278","look",98
"279","admin",7
"280","incl",2
"281","recit",8
"282","ethic",5
"283","profession",53
"284","social",9
"285","respons",48
"286","mayb",13
"287","electron",47
"288","procedur",22
"289","perform",130
"290","web",356
"291","resourc",83
"292","quot",39
"293","fun",54
"294","stuff",96
"295","collect",54
"296","joke",8
"297","start",82
"298","sumedh",3
"299","misc",13
"300","convert",11
"301","raw",29
"302","postscript",198
"303","ask",24
"304","simpl",42
"305","enscript",6
"306","suggest",39
"307","r",121
"308","g",70
"309","pfilep",6
"310","filetxt",4
"311","print",22
"312","sourc",67
"313","code",136
"314","give",38
"315","header",3
"316","filep",2
"317","leav",20
"318","just",72
"319","printer",4
"320","come",71
"321","modif",9
"322","wed",27
"323","est",6
"324","distribut",267
"325","dirti",1
"326","real",37
"327","practic",67
"328","aspect",22
"329","studi",116
"330","implement",183
"331","signific",9
"332","student",379
"333","take",85
"334","offer",49
"335","varieti",11
"336","project",474
"337","rang",18
"338","internetwork",3
"339","complex",60
"340","team",21
"341","person",104
"342","choos",9
"343","interest",462
"344","trough",1
"345","earn",6
"346","depend",24
"347","size",9
"348","develop",181
"349","offcial",1
"350","interact",65
"351","basic",31
"352","instruct",37
"353","descript",75
"354","plan",82
"355","progress",21
"356","report",114
"357","present",107
"358","go",95
"359","tabl",25
"360","content",51
"361","comment",71
"362","werner",10
"363","vogel",8
"364","homepag",106
"365","fall",186
"366","run",80
"367","netscap",43
"368","ie",11
"369","click",113
"370","individu",18
"371","frame",22
"372","info",95
"373","section",72
"374","hoursmotw",1
"375","download",31
"376","criteria",3
"377","goofi",2
"378","preced",2
"379","contain",59
"380","browser",55
"381","abl",23
"382","handl",18
"383","updat",171
"384","csb",14
"385","problem",221
"386","now",112
"387","clarif",6
"388","lecturessect",2
"389","handoutsannounc",2
"390","instructorsta",2
"391","academ",79
"392","rememb",13
"393","well",111
"394","knowledg",57
"395","continu",41
"396","mathemat",150
"397","trigonometri",3
"398","math",41
"399","equival",5
"400","elementari",5
"401","emphasi",14
"402","techniqu",100
"403","analysi",132
"404","algorithm",262
"405","subject",26
"406","particular",39
"407","princip",10
"408","presum",2
"409","previou",41
"410","experi",63
"411","test",90
"412","standalon",5
"413","microcomput",2
"414","altern",12
"415","version",124
"416","com",16
"417","",200
"418","emphas",2
"419","applic",163
"420","involv",54
"421","v",60
"422","csa",5
"423","differ",51
"424","besid",8
"425","letter",22
"426","assum",14
"427","andor",9
"428","familiar",7
"429","oppos",1
"430","discret",19
"431","might",38
"432","wonder",21
"433","mean",39
"434","mani",65
"435","introduc",9
"436","scientif",59
"437","easier",2
"438","think",49
"439","comfort",4
"440","deriv",12
"441","etc",31
"442","show",31
"443","appli",58
"444","point",40
"445","necessarili",5
"446","rather",18
"447","expand",14
"448","like",138
"449","qualifi",7
"450","sound",13
"451","attract",5
"452","benefit",2
"453","choic",12
"454","often",20
"455","world",91
"456","intro",19
"457","sure",20
"458","whether",17
"459","talk",53
"460","prof",58
"461","zabih",14
"462","opinion",8
"463","slight",4
"464","taught",30
"465","although",18
"466","coincid",1
"467","anoth",37
"468","bit",33
"469","spend",18
"470","pointer",25
"471","doesnt",14
"472","matter",6
"473","disregard",2
"474","sentenc",14
"475","pick",20
"476","unclaim",1
"477","assignmentsexam",2
"478","consult",27
"479","carpent",5
"480","provid",105
"481","id",12
"482","feel",26
"483","incorrectli",1
"484","fill",7
"485","reason",76
"486","lab",123
"487","caus",4
"488","scratch",4
"489","must",27
"490","post",30
"491","outsid",13
"492","either",26
"493","srudent",1
"494","fourdigit",1
"495","u",86
"496","respon",1
"497","verifi",15
"498","record",9
"499","correct",38
"500","error",16
"501","contact",145
"502","administr",26
"503","lauri",5
"504","buck",2
"505","sinc",71
"506","occur",7
"507","probabl",33
"508","keep",33
"509","doublecheck",1
"510","locat",44
"511","mon",17
"512","septemb",83
"513","tba",15
"514","octob",105
"515","novemb",112
"516","al",22
"517","kimbal",6
"518","mz",1
"519","decemb",68
"520","therefor",4
"521","held",23
"522","room",53
"523","sake",1
"524","consist",27
"525","try",51
"526","stick",2
"527","togeth",19
"528","olin",6
"529","begin",29
"530","mondai",91
"531","dai",68
"532","hollist",4
"533","uri",1
"534","clarifi",1
"535","discuss",58
"536","addit",59
"537","excercis",1
"538","sampl",41
"539","miss",12
"540","substitut",3
"541","later",18
"542","howev",29
"543","regist",16
"544","excersis",1
"545","obtain",26
"546","copi",55
"547","alwai",29
"548","tell",14
"549","nd",30
"550","sorri",3
"551","special",40
"552","charact",9
"553","funki",1
"554","im",199
"555","improv",39
"556","th",213
"557","st",39
"558","four",12
"559","need",62
"560","biginth",2
"561","ptestc",2
"562","definit",9
"563","typedef",1
"564","bigint",1
"565","pass",25
"566","ramin",12
"567","hold",11
"568","czar",9
"569","ph",8
"570","walkin",1
"571","basi",12
"572","leon",10
"573","harkleroad",1
"574","thur",11
"575","adam",22
"576","florenc",3
"577","revis",14
"578","still",40
"579","remain",5
"580","wr",1
"581","weiwei",2
"582","lin",16
"583","czarina",1
"584","rare",3
"585","stai",10
"586","welcom",126
"587","long",25
"588","make",94
"589","thank",25
"590","nikola",1
"591","valerjev",1
"592","site",99
"593","walk",8
"594","complet",69
"595","lost",6
"596","put",18
"597","track",13
"598","tutor",5
"599","quiet",2
"600","complaint",4
"601","grasp",2
"602","affect",5
"603","neg",1
"604","manner",8
"605","pair",6
"606","result",46
"607","effort",23
"608","standard",40
"609","expect",33
"610","conduct",11
"611","eg",32
"612","strategi",20
"613","cooper",14
"614","never",19
"615","possess",1
"616","written",56
"617","regardless",2
"618","disk",13
"619","output",15
"620","produc",22
"621","describ",42
"622","penalti",4
"623","violat",5
"624","failur",32
"625","disciplinari",1
"626","action",20
"627","perman",35
"628","mark",29
"629","transcript",11
"630","behavior",13
"631","mantain",1
"632","satisfi",8
"633","nawaaz",4
"634","ahm",4
"635","troubl",4
"636","view",70
"637","your",36
"638","earli",22
"639","log",22
"640","latest",13
"641","order",39
"642","top",23
"643","found",47
"644","newsgroup",43
"645","let",19
"646","mac",37
"647","staff",43
"648","engrd",2
"649","grant",11
"650","intermedi",7
"651","highlevel",8
"652","proof",33
"653","recurs",14
"654","abstract",53
"655","objectori",49
"656","java",115
"657","exact",7
"658","announc",47
"659","interpret",21
"660","access",74
"661","userid",3
"662","password",6
"663","attempt",9
"664","dylan",15
"665","correctli",4
"666","check",95
"667","thu",32
"668","noodll",1
"669","inconsist",1
"670","here",60
"671","fix",11
"672","parter",1
"673","directori",26
"674","partnerjoin",1
"675","util",13
"676","august",51
"677","introductori",17
"678","broad",10
"679","function",52
"680","object",114
"681","orient",24
"682","pattern",20
"683","match",18
"684","appl",13
"685","suit",10
"686","happen",6
